"Service","Status","Start","Application","AppDirectory","AppParameters"
"QI_AutoPDF","Stopped","SERVICE_DEMAND_START","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\AutoPDF\Application","-NoProfile -ExecutionPolicy Bypass -File C:\AutoPDF\Application\AutoPDF-Server.ps1"
"QI_AutoPDFMCP","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\AutoPDF","C:\AutoPDF\tools\run_mcp_gateway.py"
"QI_AutoPDFTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-autopdf.yml run qi-autopdf"
"QI_BrainAPI","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH","C:\QIH\engine\brain\api.py"
"QI_Caddy","Running","SERVICE_AUTO_START","C:\QIH\engine\bin\caddy.exe","C:\QIH\engine\bin","run --config C:\QIH\engine\proxy\Caddyfile"
"QI_ClaudeVoiceControl","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH\engine\launchers","C:\QIH\engine\launchers\claudevoice_control_launcher.py"
"QI_ClaudeVoiceLine","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\CLAUDE\Claude Voice","line_bot.py"
"QI_ClaudeVoiceTelegram","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\CLAUDE\Claude Voice","telegram_bot.py"
"QI_ClaudeVoiceTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-claudevoice.yml run qi-claudevoice"
"QI_CogniBase","Running","SERVICE_AUTO_START","C:\CogniBase\.venv\Scripts\python.exe","C:\CogniBase","-m uvicorn Application.server.app:app --host 127.0.0.1 --port 8650"
"QI_CogniBaseTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-cognibase.yml run qi-cognibase"
"QI_ConnectorMCP","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIP\Connector","C:\QIP\Connector\api\main.py"
"QI_ConnectorTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-connector.yml run qi-connector"
"QI_CypherMinerTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-cypherminer.yml run qi-cypherminer"
"QI_CypherMinerUI","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\CypherMiner","-m http.server 7842 --bind 127.0.0.1 --directory C:\CypherMiner\frontend\dist"
"QI_Dashboard","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH","C:\QIH\engine\hive\dashboard\server.py"
"QI_DashboardTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-hive.yml run qi-hive"
"QI_Elevate","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH\engine\common","C:\QIH\engine\common\qi_elevate.py"
"QI_GamezProxy","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\Gamez\proxy","server.py"
"QI_GamezQuantProxy","Stopped","SERVICE_DEMAND_START","C:\1-AI\APPS\PYTHON\python.exe","C:\Gamez\proxy","hyde_service.py"
"QI_GamezTunnel","Running","SERVICE_AUTO_START","C:\Program Files (x86)\cloudflared\cloudflared.exe","C:\QIH\engine\tunnels","tunnel --no-autoupdate --config C:\QIH\engine\tunnels\configs\qi-gamez.yml run qi-gamez"
"QI_Gate","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH\engine\gate","C:\QIH\engine\gate\qi_gate.py"
"QI_Headroom","Running","SERVICE_AUTO_START","C:\CLAUDE\Tools\headroom_env\Scripts\headroom.exe","C:\CLAUDE\Tools","proxy --port 9020"
"QI_HiveApply","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH\engine\hive\apply","C:\QIH\engine\hive\apply\main.py"
"QI_HiveIngest","Running","SERVICE_AUTO_START","C:\1-AI\APPS\PYTHON\python.exe","C:\QIH\engine\hive\ingest","C:\QIH\engine\hive\ingest\hive_ingest.py"
